cod_magist_sucedi;dat_inicio_orgao;dat_termin_orgao;cod_magist_sucess;cod_orgao_gabine_sucedi;cod_orgao_gabine_sucess
000000044;19-mai-15;24-mai-15;000000044;SP01G2062;SP01G2033
000000044;25-mai-15;;;SP01G2033;
000000055;24-nov-13;01-jul-14;000000055;SP01G1052;SP01G1015
000000055;02-jul-14;21-dez-15;000000055;SP01G1015;SP01G3081
000000055;22-dez-15;;;SP01G3081;
000000056;26-fev-14;;;SP01G1023;
000000061;10-jun-15;26-jul-15;000000061;SP01G1025;SP01G2031
000000061;27-jul-15;;;SP01G2031;
000000067;17-ago-16;;;SP01G4052;
000000070;10-jun-15;;;SP01G3072;
